
=== LoRA Training run: 2026-08-29T17:04:58 ===
step | epoch | metrics
25 | 0.0048 | epoch=0.0047705371624844955, grad_norm=0.7672454118728638, learning_rate=6e-06, loss=0.3431022262573242
50 | 0.0095 | epoch=0.009541074324968991, grad_norm=0.5629865527153015, learning_rate=1.225e-05, loss=0.2982640266418457
75 | 0.0143 | epoch=0.014311611487453487, grad_norm=0.8678147196769714, learning_rate=1.85e-05, loss=0.29345605850219725
100 | 0.0191 | epoch=0.019082148649937982, grad_norm=0.9749581217765808, learning_rate=2.4750000000000002e-05, loss=0.2651917839050293
125 | 0.0239 | epoch=0.02385268581242248, grad_norm=0.7877706289291382, learning_rate=3.1e-05, loss=0.3041048812866211
150 | 0.0286 | epoch=0.028623222974906975, grad_norm=1.0565603971481323, learning_rate=3.7250000000000004e-05, loss=0.2970408058166504
175 | 0.0334 | epoch=0.03339376013739147, grad_norm=0.5980002880096436, learning_rate=4.35e-05, loss=0.25530237197875977
200 | 0.0382 | epoch=0.038164297299875964, grad_norm=0.7490443587303162, learning_rate=4.975e-05, loss=0.34491634368896484
225 | 0.0429 | epoch=0.04293483446236046, grad_norm=1.1285525560379028, learning_rate=4.933333333333334e-05, loss=0.2828622055053711
250 | 0.0477 | epoch=0.04770537162484496, grad_norm=1.0466399192810059, learning_rate=4.863888888888889e-05, loss=0.32798736572265624
275 | 0.0525 | epoch=0.05247590878732945, grad_norm=1.0606012344360352, learning_rate=4.794444444444445e-05, loss=0.27336807250976564
300 | 0.0572 | epoch=0.05724644594981395, grad_norm=0.8271932005882263, learning_rate=4.7249999999999997e-05, loss=0.3207231521606445
325 | 0.0620 | epoch=0.062016983112298446, grad_norm=0.8237162828445435, learning_rate=4.6555555555555556e-05, loss=0.3181009864807129
350 | 0.0668 | epoch=0.06678752027478294, grad_norm=0.6090514063835144, learning_rate=4.5861111111111116e-05, loss=0.31326486587524416
375 | 0.0716 | epoch=0.07155805743726744, grad_norm=0.8749253153800964, learning_rate=4.516666666666667e-05, loss=0.3224879455566406
400 | 0.0763 | epoch=0.07632859459975193, grad_norm=0.8801152110099792, learning_rate=4.447222222222223e-05, loss=0.3101938056945801
425 | 0.0811 | epoch=0.08109913176223643, grad_norm=0.560029923915863, learning_rate=4.377777777777778e-05, loss=0.3017132568359375
450 | 0.0859 | epoch=0.08586966892472092, grad_norm=0.5376682281494141, learning_rate=4.3083333333333335e-05, loss=0.2598454093933105
475 | 0.0906 | epoch=0.09064020608720542, grad_norm=0.7430410981178284, learning_rate=4.238888888888889e-05, loss=0.25088579177856446
500 | 0.0954 | epoch=0.09541074324968991, grad_norm=0.5057878494262695, learning_rate=4.169444444444445e-05, loss=0.287949275970459
500 | 0.0954 | epoch=0.09541074324968991, eval_loss=0.2489035278558731, eval_runtime=1349.6654, eval_samples_per_second=0.781, eval_steps_per_second=0.098, eval_wer=0.3929797787104159
