
=== LoRA Training run: 2026-08-26T21:50:11 ===
step | epoch | metrics
25 | 0.0048 | epoch=0.0047705371624844955, grad_norm=0.41391587257385254, learning_rate=2.4e-05, loss=0.3430152893066406
50 | 0.0095 | epoch=0.009541074324968991, grad_norm=0.3108702003955841, learning_rate=4.9e-05, loss=0.29789793014526367
75 | 0.0143 | epoch=0.014311611487453487, grad_norm=0.5522019267082214, learning_rate=7.4e-05, loss=0.2923580741882324
100 | 0.0191 | epoch=0.019082148649937982, grad_norm=0.6711397767066956, learning_rate=9.900000000000001e-05, loss=0.2635622024536133
100 | 0.0191 | epoch=0.019082148649937982, eval_loss=0.2591676414012909, eval_runtime=1241.8228, eval_samples_per_second=0.849, eval_steps_per_second=0.213, eval_wer=0.4058883377845606
125 | 0.0239 | epoch=0.02385268581242248, grad_norm=0.5496373176574707, learning_rate=9.976883066846465e-05, loss=0.302650203704834
150 | 0.0286 | epoch=0.028623222974906975, grad_norm=0.7059957385063171, learning_rate=9.952802928144867e-05, loss=0.296302547454834
175 | 0.0334 | epoch=0.03339376013739147, grad_norm=0.40670812129974365, learning_rate=9.928722789443268e-05, loss=0.2553921127319336
200 | 0.0382 | epoch=0.038164297299875964, grad_norm=0.47636502981185913, learning_rate=9.904642650741669e-05, loss=0.34457332611083985
200 | 0.0382 | epoch=0.038164297299875964, eval_loss=0.2553344964981079, eval_runtime=6860.7566, eval_samples_per_second=0.154, eval_steps_per_second=0.038, eval_wer=0.4027088897367417
225 | 0.0429 | epoch=0.04293483446236046, grad_norm=0.7173055410385132, learning_rate=9.88056251204007e-05, loss=0.28342002868652344
250 | 0.0477 | epoch=0.04770537162484496, grad_norm=0.6668989062309265, learning_rate=9.85648237333847e-05, loss=0.328426628112793
275 | 0.0525 | epoch=0.05247590878732945, grad_norm=0.6702017784118652, learning_rate=9.832402234636872e-05, loss=0.2733528709411621
300 | 0.0572 | epoch=0.05724644594981395, grad_norm=0.5109943747520447, learning_rate=9.808322095935273e-05, loss=0.3213336944580078
300 | 0.0572 | epoch=0.05724644594981395, eval_loss=0.25469639897346497, eval_runtime=6300.636, eval_samples_per_second=0.167, eval_steps_per_second=0.042, eval_wer=0.39304336767137227
325 | 0.0620 | epoch=0.062016983112298446, grad_norm=0.5132206678390503, learning_rate=9.784241957233674e-05, loss=0.3186857032775879
350 | 0.0668 | epoch=0.06678752027478294, grad_norm=0.395015686750412, learning_rate=9.760161818532075e-05, loss=0.3133333015441895
375 | 0.0716 | epoch=0.07155805743726744, grad_norm=0.5657063722610474, learning_rate=9.736081679830476e-05, loss=0.32330577850341796
400 | 0.0763 | epoch=0.07632859459975193, grad_norm=0.5540895462036133, learning_rate=9.712001541128877e-05, loss=0.3113055038452148
400 | 0.0763 | epoch=0.07632859459975193, eval_loss=0.25474104285240173, eval_runtime=6345.7472, eval_samples_per_second=0.166, eval_steps_per_second=0.042, eval_wer=0.40550680401882233
425 | 0.0811 | epoch=0.08109913176223643, grad_norm=0.3556481897830963, learning_rate=9.687921402427278e-05, loss=0.30268699645996094
450 | 0.0859 | epoch=0.08586966892472092, grad_norm=0.35406801104545593, learning_rate=9.66384126372568e-05, loss=0.26098352432250976
475 | 0.0906 | epoch=0.09064020608720542, grad_norm=0.48582684993743896, learning_rate=9.63976112502408e-05, loss=0.25148883819580076
500 | 0.0954 | epoch=0.09541074324968991, grad_norm=0.33244314789772034, learning_rate=9.615680986322481e-05, loss=0.28844404220581055
500 | 0.0954 | epoch=0.09541074324968991, eval_loss=0.25186678767204285, eval_runtime=6569.777, eval_samples_per_second=0.16, eval_steps_per_second=0.04, eval_wer=0.39418796896858704
525 | 0.1002 | epoch=0.10018128041217442, grad_norm=0.4534573554992676, learning_rate=9.591600847620882e-05, loss=0.2398914337158203
550 | 0.1050 | epoch=0.1049518175746589, grad_norm=0.44759246706962585, learning_rate=9.567520708919285e-05, loss=0.2642292594909668
